topic,text,n_words
Должен ли человек хранить память о своих предках,"Рассуждая над этой проблемой, автор повествует о том, как однажды увидела лежащий около мусорных контейнеров альбом с фотографиями. Находка, сильно возмутившая рассказчицу, заставила «лихорадочно» задуматься: кто же мог совершить такую подлость — выбросить собираемую и хранимую десятилетиями в семье память? За последние годы, с сожалением отмечает Ю. Ляликова, жизнь сильно изменилась, многое стало «немодным», но выбрасывать старый альбом с фотографиями родственников словно совершать кощунство! Вещи, хранящие память о прошлом наших семей, «не заслужили такой судьбы»!

Определить позицию автора довольно просто: человек обязан «сохранить хотя бы ...крохи свидетельств» о жизни его предков, чтобы передать их своим детям.

Я полностью разделяю точку зрения Ю. Ляликовой. Действительно, хранить и собирать память о наших родных и их прошлом необходимо. Об этом не раз размышляли русские классики и публицисты.

Так, о необходимости помнить своих предков, любить и почитать их писал  А. С. Пушкин в стихотворении «Два чувства дивно близки нам...». Великий поэт утверждал, что «любовь к родному пепелищу,.. к отеческим гробам» - это чувство, дающее пищу нашему сердцу, без которого «земля была б... мертва».

О том, что человек должен хранить память об отцах, прадедах, писал и Д.И.Лихачев в «Письмах о добром и прекрасном». Уважать труд, традиции наших предков, считал публицист, необходимо, а  семейные фотографии – это «одно из важнейших «наглядных пособий» морального воспитания детей... и взрослых».

Таким образом, человек обязан хранить память о своих предках.

",213
Что такое нежность,"В данном тексте автор раскрывает смысл слова «нежностью», говоря, что это "" самый кроткий, робкий, божественный лик любви..."" Писатель с восторгом отмечает, что нежность – это то, что идет сверху, что позволяет  заботиться о любимом, охранять и опекать его. Н.Теффи  обращает наше внимание и на то, что сестра нежности – жалость:  «они всегда вместе».

Позицию писателя определить легко. Она считает, что нежность - самый кроткий, робкий, божественный лик любви. 

Не могу не согласиться с мнение Н.Теффи .Нежность - это самое прекрасное чувство. Именно с помощью него мы передаем всю свою любовь нашим близким. Об этом не раз писали многие классики и публицисты.

В романе Л.Толстого «Война и мир» автор представляет перед нами сущность жизни Наташи Ростовой: любить доверчиво, самозабвенно, отдавать себя другим людям, просветляя всё вокруг себя, помогая близким и чужим людям в трудную минуту. Вспомним поведение Наташи в те минуты, когда семья узнала о смерти Пети. К рыдающей матери устремляется именно Наташа! И все вздыхают спокойно, потому что знают, что та найдет слова, которые поддержат бедную женщину. Найдет потому, что вся сущность Наташи была пронизана нежностью…

О нежности и жалости, которые всегда идут рука об руку, говорит в своем стихотворении И.Шаховский:

Острая нежность и острая жалость

Рядом вошли в мой дом.

Жалость и нежность, нежность и жалость

Ходят всегда вдвоем.

Ни оправдать, ни понять другого

Люди не могут еще.

Только жалеют. И нежное слово

Другу кладут на плечо.

Какие прекрасные строки!

Таким образом, могу сделать вывод: нежность- это чувство, которое позволяет  проявить ласку, заботу и любовь к близким нам людям.

",236
Есть ли место для нежности в современном мире,"Размышляя над данной  проблемой, писательница с сожалением отмечает,  что наша современная жизнь сводится к одному единственному:  к утверждению своей личности. Проявление таких чувств как жалость, нежность и любовь – редкость, и  считаются чуть ли не принижающим достоинство. Н. Теффи не согласна с таким положением! Она уверена,  что нежность заложена в нас с рождения и призвана сильных заботиться о беззащитных, нуждающихся в опеке.    Не надо думать, что чувство нежности принижает человека. Нет. Нежность идет сверху, она заботится о любимом, и не всегда предстает только в образе кроткой женщины, склонившейся к изголовью кровати…

Позицию автора понять довольно просто: таким проявлениям нежности, как забота о беспомощных и нуждающихся людях, любящих и любимых, всегда должно находиться место в современном мире.

Трудно не согласиться с мнением писательницы. Действительно, в наше эгоистичное время нежность, “все отдающая, без оглядки на себя”, необходима. Об этом писали многие классики и публицисты.

Вспомним рассказ А. Геласимова “Нежный возраст”. Главный герой, грубый со сверстниками и родителями  современный подросток, пренебрежительно относится к своей учительнице музыки. Но именно эта мудрая женщина пробудит в сердце мальчика настоящую нежность к окружающим его людям. Бесчувственный, на первый взгляд, юноша проявит искреннее желание помогать ближним, испытает и первую влюбленность,  и горечь потери любимого человека. Особый период взросления подростка будет наполнен нежностью, к проявлению которой, как казалось, он не способен.

Совсем недавно во всех газетах и журналах, на радио  и телевидении широко обсуждался  пример вопиющего неуважения к ветеранам. В одном из магазинов Санкт-Петербурга продавцы обвинили  пожилую блокадницу в краже нескольких упаковок масла. Женщина, пережившая ужасы войны и голод, человек уважаемый, была задержана полицией по подозрению   в  совершении “преступления”. Она скончалась в участке. Скончалась потому, что желание людей следовать букве закона и жить по инструкциям привело к черствости и равнодушию: в сердцах продавцов и полицейских не нашлось места  для нежности и сострадания. Вероятно,  для многих  такой пример безразличного отношения к окружающим  станет предостережением. 

Могу сделать вывод, что в современном мире должно находиться  место и   для жалости, и для любви, и для нежности.

",317
Какова роль прощения в жизни человека,"Рассуждая над поставленным вопросом, автор пишет о матери и сыне Диме, которые отправились за капустой на рынок. Мама оставила Диму ждать очередь, а сама ушла по делам. Приближаясь к машине, «покупатели стали восстанавливать очередь, и оказалось ,что Дима будто бы здесь и вовсе не стоял».Покупатели стали кричать, когда мать подала мешок продавцу. Дима съёжился от страха и обиды, ему хотелось оправдаться, но он не мог: ком обиды сдавил его горло, «та змея, на которую была похожа очередь, как будто заползла ему в сердце».

Когда мальчик вышел на улицу, чтобы забрать сестру из детского сада, он увидел «голубой небо», вечерние звёзды и «отражение Самого Бога проникло в его душу и погрузило в благоговение». В этот момент  сегодняшняя обида показалась такой ничтожной и мелочной, что «он засмеялся и, любуясь небом, закричал:

 — Я прощаю вас, люди!

  Два примера-иллюстрации, противопоставленные друг другу, помогают понять, что умение прощать даёт людям возможность вернуть позитивное настроение и душевную лёгкость. В этом, на мой взгляд, и состоит позиция автора.

Я согласна с точкой зрения Б.А. Ганаго : действительно, люди должны проявлять милосердие, тем самым облегчая свое сердце от обид и ненависти.

Таким образом, человек, умеющий прощать, не отравляет свою душу негативными чувствами, а живёт в радости и гармонии с собой. 

",198
Как природа «лечит» души людей,"Однажды Дима с мамой пошли на рынок, чтобы купить недорогую капусту. Мама, оставив сына, ушла по своим делам, оставив в очереди Диму. Окружающие люди, словно не замечая мальчика, вытолкнули его из очереди. Дима чуть не расплакался от обиды, потому что его задели злые слова людей. И только вечером, выйдя на улицу, мальчик, увидев «звездную даль, бесконечную и непостижимую в своей беспредельности”, словно растаял. Отражение Бога проникло в его душу. Тогда он понял, насколько мелкой была его сегодняшняя обида. Дима улыбнулся, посмотрел в небо и закричал: “Я прощаю вас, люди!”

Два примера-иллюстрации дополняют друг друга, показывая, насколько сильна красота природы и как она лечит души людей, заставляя забыть об обиде. В этом, на мой взгляд, и состоит позиция автора.

Я согласен с Б.А.Ганаго: все человеческие проблемы «гаснут» на фоне бесконечного звездного неба или прекрасного заката солнца.

Таким образом, красота природы – прекрасный душевный лекарь. 

",138
Способен ли человек на чувство сострадания в тяжелых жизненных ситуациях?,"В. Солоухин повествует в своем рассказе о молодых студентах, живущих в общежитии во время войны. Он рассказывает нам о Мишке, который прятал еду в своей тумбочке и закрывал ее на замок, в то время как его товарищи страдали от голода. Однажды его сосед тяжело заболел, но, несмотря на то что у Миши была возможность помочь ему, он не стал делать  этого. Поступив как настоящий «жадина», герой заявил, что у него ничего нет, и нагло обратил  внимание на бесцеремонность своих товарищей. Автор, раскрывая всю ничтожность  сущности Михаила и  высказывая  свое презрение к такому типу людей, предполагает, что такие бесчеловечные поступки никогда не останутся безнаказанными.                          Позиция В. Солоухина ясна: он считает, что, несмотря ни на какие сложные жизненные ситуации, мы должны помогать своим близким и никогда не оставлять их в беде.             Я полностью согласна с автором  текста: вопреки любым обстоятельствам, нужно прежде всего  оставаться людьми, помня золотое правило нравственности: «относись к людям так, как хочешь, чтобы они относились к тебе». Об этом не раз писали русские писатели.                   Так, в рассказе М. Шолохова «Судьба человека»  главный герой А.Соколов ,будучи в плену ,получает заслуженную собственным мужеством буханку хлеба от начальника лагеря. Вместо того, чтобы в одиночку съесть ее, он приходит ко всем своим братьям по несчастью и делится с ними хлебом. Вот оно, сострадание к ближним, заслуживающее уважения!                  В статье « Воспоминания о блокаде», которую я встретила на одном из многочисленных сайтов Интернета, посвященных Великой Отечественной войне, Ирина Алексеева, жительница блокадного Ленинграда, рассказывает нам историю своей жизни. В сентябре сорок первого, когда ее семья направлялась в Петербург, с ними в поезде были две девочки, отца которых арестовали. Мама героини рассказа не смогла оставить этих бездомных и беззащитных детишек… Вот он, по - настоящему милосердный поступок!               Таким образом, возможность проявить чувство сострадания по отношению к окружающим людям зависит от способности быть настоящим человеком. ",298
Старость - важная ступень в жизни человека,"Размышляя над данным вопросом, автор призывает не бояться собственных «седин»: ведь «быть старым – такая же прекрасная и необходимая задача, как быть молодым». И все потому, что  молодые люди в гонке за своими «желаниями, мечтами» не замечают простых вещей, маленьких жизненных радостей. Но с годами  их энергия исчезает, и на смену страстям приходят ум, терпимость, спокойствие, снисходительность. Пожилые люди уже не бегут,  а неторопливо прогуливаются, присматриваясь и прислушиваясь «к светлой и ясной жизни природы и к жизни наших собратьев», «не переставая удивляться её разнообразию». Поэтому, по мнению писателя, старость,  важная ступень в жизни человека, — это не забвение, не конец существования, а та его необходимая часть, которая дана людям, чтобы предаться созерцанию окружающего мира, посмотреть с высоты прожитых лет на свое прошлое.

Позицию автора определить не сложно: старость является важным жизненным этапом потому, что она, как и молодость, имеет свою особую цель, «своё собственное лицо, собственную атмосферу, собственные радости и горести».

Я разделяю точку зрения Г. Гессе: ведь преклонный возраст — это тот период в жизни человека, который дан людям для анализа своего жизненного пути, переосмысления собственных взглядов и принципов, для радости от созерцания бытия. Об этом не раз писали русские писатели.

Так, молодость главной героини рассказа М. Горького ""Старуха Изергиль"" была настоящим круговоротом страстей: многочисленные мужчины, незабываемые приключения, наполненные духом свободы и независимости. Но с годами к героине пришли мудрость, спокойствие и рассудительность. Она осознала, что счастье женщины заключается не в скитаниях по всему свету в поисках своей любви, а в размеренной, тихой жизни в какой-нибудь деревушке с мужем и детьми.

О старости, как о важной жизненной ступени, рассуждал и Б. Акунин в своем романе «Весь мир театр», утверждая, что «жизнь не может быть спуском, только подъёмом — до самого последнего мига». То есть человек развивается до самой смерти, течение времени делает его не беднее, а богаче, мудрее. Поэтому, по мнению автора, старость — это выгодная торговая операция, натуральный обмен ""физической и умственной крепости на духовную, внешней красоты — на внутреннюю"".

Таким образом, старость является важной частью жизни человека потому, что именно в пожилом возрасте люди становятся мудрее, начинают по-другому смотреть на мир, уходят от гонки за мечтами и отдаются «жизни созерцательной».",348
"Только ли силы природы виновны в стихиях, обрушивающихся на Землю?","Человек с давних времен страдает от бедствий: землетрясений, цунами, извержения вулканов, сопровождающихся убытками и жертвами. Некоторые из них мы уже можем регулировать, но, тем не менее, человеческий род продолжает получать колоссальный вред от пожаров, экологических катаклизмов. В чем же причина? Автор текста убежден, что в этом виноват только человек и его «разгильдяйское» отношение к работе.

Публицист уверен: силы природы будут наносить вред человечеству, если не контролировать исправность устройств и не следовать правилам техники безопасности. 

Безусловно, я согласна с мнением Г. Черникова. Очень часто стихийные бедствия можно предотвратить, но, увы, до сих пор человечество страдает и получает урон из-за своего «разгильдяйства».

В пример хочу привести ситуацию из жизни. Летом очень часто случаются лесные пожары. Причем не из-за пылкого, жарящего солнца, а из-за халатного отношения к природе отдыхающих, оставляющих на месте пикника стеклянные осколки. Прямое попадание солнечного луча на один из них вызывает мгновенное возгорание огня, разрастающееся в пламя,  поражающее весь лес.

В Интернете, на сайте «Hotgeo.ru»,  я познакомилась со статьей, в которой говорилось о погибших людях в результате трагедии в барнаульской больнице.  По предварительным данным причиной возгорания в городской здравнице №4 стало нарушение правил пожарной безопасности при проведении сварочных работ. Вот так дорого обошлась людям чья-то ошибка! Ошибка ценою в жизни!

Могу сделать вывод, что силы природы не так уж и виноваты в бедствиях и стихиях.

",209
Только ли ударом ножа можно нанести рану человеку?,"Размышляя над поставленной  проблемой,  автор с возмущением рассказывает о случае с немолодой женщиной, видным ученым, которую обидели в течение часа дважды: сначала - не ведающий, что делает, пьяный толкнул ее, а затем доктор в больнице, отказавшаяся оказать раненой помощь по причине того, что у нее, заведующей поликлиникой, еще не начался прием. Вот что пишет женщина в редакцию радиопередачи: «Вы правы, сравнивая травму, нанесённую криком, с ударом ножа». С.Л.Львов приводит еще десятки подобных примеров, заканчивая свой текст словами: ««Будьте осторожны со словом; грубое — обоюдоостро и часто мстит за себя!»

С.Л. Львов считает, что со словом нужно обращаться обдуманно, осторожно. Ведь оно может  ранить подобно удару ножа. 

Я полностью согласна с мнением автора, так как уверена, что необдуманным словом можно не только ранить человека, но и убить. Об этом не раз писали классики, постоянно говорят публицисты.

Вспомним известные многим слова поэта В.С.Шефнера:   Словом можно убить, словом можно спасти,

Словом можно полки за собой повести.

Словом можно продать, и предать, и купить...

     Словом можно убить… Сколько людей, обиженных по глупости, невежеству, умерли от инфаркта или инсульта… 

В Интернете, на одном из сайтов, нашла слова одного мудрого человека. Обращаясь к своему сыну, он сказал: «О сын мой, не произноси слов, способных огорчить людей. Ты невзначай обронишь слово, а оно ранит, обидит кого-нибудь. Слово — что стрела, спущенная с тетевы; хорошо подумай, прежде чем сказать. Сказанного не вернешь. Бойся причинять обиды». Лучше не скажешь!

   Могу сделать вывод, что не только ударом ножа, но и словом можно нанести рану человеку, а многие душевные раны, как и физические,  не заживают достаточно долго. Нужно всегда думать о том, что говоришь.",259
"Факторы, влияющие на развитие взаимоотношений между людьми","Автор считает, что « для взаимоотношений нужны двое». Это могут быть товарищи или друзья, влюбленные или супруги. Если этих людей связывают дом, дача, деньги, то с первыми же проблемами в этой среде будут поставлены под угрозу и их отношения, и чувства, потому что жадность и себялюбие - главные факторы, влияющие не на укрепление, а на разрушение дружбы или любви.
Позицию психолога определить не сложно: «для успеха любых взаимоотношений нужно, чтобы обе стороны пытались преодолеть чувство собственничества и эгоизма».
Я разделяю точку зрения автора, потому что считаю: основными факторами, укрепляющими дружбу или любовь, являются щедрость и гуманность. Над этим вопросом не раз размышляли русские классики.
Вспомним повесть Н.В.Гоголя «Как поссорился Иван Иванович с Иваном Никифоровичем». Что разрушило взаимоотношения таких приятелей, «каких свет не производил»? Злополучное ружье, которое стало причиной разрыва двух почтенных мужей, чести и украшения Миргорода?! Нет, жадность и эгоизм приятелей. 
Задумывались ли вы когда-нибудь, почему не состоялся брак между героями романа Л.Н.Толстого «Война и мир» Пьром Безуховым и Элен Курагиной? Пьер, богатейший человек России той поры, был очарован пленительной красотой Элен. А счастливого брака не получилось, и все потому, что эгоизм, свойственный графине Безуховой, не позволил не ей стать счастливой, не сделать таким супруга.
Таким образом, могу сделать вывод, что только тогда взаимоотношения между людьми будут успешными, когда они будут лишены жадности и эгоизма.",211
Что включает в себя понятие нравственного долга?,"В данном тексте автор, восторгаясь людьми, готовыми «преступить личное благополучие ради помощи другому человеку», рассказывает о жителях Омска, которые, услышав, что пострадавшему требуется донорская кровь,  незамедлительно отправились в больницу. По мнению писателя,  отзывчивость и гуманность этих трехсот двадцати человек, а также их стремление помочь человеку, попавшему в беду,  и есть проявление нравственного долга.

Позицию автора понять просто: нравственный долг - это естественная потребность человека заботиться о нуждах ближних.

Я полностью разделяю точку зрения публициста. Действительно, такое проявление   качеств личности ,как отзывчивость и самоотверженность, бескорыстие и гуманность, и считается нравственным долгом. Об этом писали классики и публицисты.

Вспомним библейскую притчу о добром  самаритянине, который позаботился об  избитом  разбойниками человеке. Проникшись состраданием  к раненому, лежащему на обочине дороги, самаритянин  обработал и перевязал ему раны, а также отвез в город и устроил в гостиницу.  Такое  проявление  гуманности человеческой души,  стремление бескорыстно служить людям и есть нравственный долг.

В настоящее время  в нашем  обществе набирает обороты движение альтруистов, людей, которые ставят благополучие других выше  личных интересов  и своим нравственным долгом  считают  помощь нуждающимся. Альтруисты известны    благотворительностью по отношению к  детям, страдающим ДЦП, больным онкологическими заболеваниями, сиротам, а также они посещают детские дома, хосписы, центры реабилитации людей с ограниченными возможностями.

Могу сделать вывод, что понятие нравственного долга включает в себя бескорыстную и самоотверженную помощь попавшим в беду людям.

",206
Что есть настоящее счастье?,"В данном тексте автор, опираясь на строки из «Дневника писателя» Ф.М.Достоевского, рассуждает о том, что многие люди под словом «счастье» понимают абсолютно беззаботную жизнь, наполненную  только отдыхом, но « не беспрерывным трудом…». Публицист, не соглашаясь с этим, вторит великому прозаику, что такая жизнь была бы скучна, однообразна, «и загнило бы человечество» от этого. Люди,  на его взгляд, быстро бы поняли, что «нет счастья в бездействии».

Авторскую позицию определить не сложно: «Счастье не в счастье, а лишь в его достижении».

Я полностью разделяю точку зрения М.Фырина. Действительно, человек счастлив тогда, когда стремится к достижению поставленной цели, преодолевает трудности, страдает, одним словом, когда живет! Об этом не раз писали  классики и современные писатели.

В повести А.И. Солженицына  «Один день Ивана Денисовича» главный герой Иван Денисович Шухов, даже находясь в Гулаге, счастлив. Счастлив, казалось бы, по мелочам:  случайно получил лишнюю тарелку супа, не посадили в карцер, не разболелся. Но главное, что вливало в его душу радость – это работа! Шутов счастлив от того, как на морозе в удовольствие делал кладку стены  здания. Читаешь это и понимаешь: как мало надо человеку для счастья!

Так, в рассказе В.Дегтева «Одуванчик» повествуется о том, как молодой курсант Левка, отличник учебы, находится на грани отчисления из летного училища, потому что он, отличник учебы, боялся летать самостоятельно, на практике  совершал грубые ошибки. Когда же комэск помог курсанту победить страх и отправил в самостоятельный полет, Левка испытал истинное счастье. Сидя в жестком кресле и слушая музыку, что жила в нем в тот момент, курсант ощущал, что « способен перевернуть мир…» 

Могу сделать вывод: счастье человек может постичь, если он будет действовать: сомневаться, искать, радоваться, стремиться и преодолевать!",263
Что есть счастье для русского человека?,"Рассуждая над этой проблемой, автор делится с нами воспоминаниями о России, нахлынувшими на него во время заграничного плавания. С восхищением он описывает весенний русский пейзаж, красота которого не раз становилась сюжетом картин известных отечественных художников: Саврасова, Левитана, Серова, Коровина, Кустодиева. Их творчество, уверен В. Конецкий, вызывает в нас ощущение истинного счастья. За ним «скрывается именно русская радость, со всей ее нежностью, скромностью, глубиной», потому как пробуждает в нас самое главное - любовь в России.

Определить позицию автора довольно просто: русский человек счастлив тогда, когда чувствует единение со своей Родиной, любовь к ней.

Я полностью разделяю точку зрения В. Конецкого. Действительно, ощущение духовной близости с Россией, глубокой привязанности к нашей стране приносит нам истинное наслаждением, душевное удовлетворение. Об этом не раз писали русские классики.

Вспоминаю героя романа Л. Н. Толстого «Анна Каренина» Константина Левина, человека живущего в глуши, не любящего шумный город с его балами, театрами, светскими вечерами. Не любящего потому, что только в деревне, в непосредственной близости к русской природе, в приобщении к крестьянскому труду, ощущая любовь к Родине,единение с ней, он находит отраду и счастье.

Жить в России, чувствовать близость, душевную привязанность к ней считал истинным счастьем и известный русский поэт С. Есенин. Так, в своем стихотворении «Гой ты, Русь, моя родная...» он писал:

Если крикнет рать святая:

""Кинь ты Русь, живи в раю!""

Я скажу: ""Не надо рая,

Дайте родину мою"".

Могу сделать вывод, что для русского человека настоящее счастье — это ощущать единение с Родиной, чувствовать любовь к своей отчизне.

",232
Что есть человеческое достоинство?,"В данном тексте автор с озабоченностью рассуждает о том, что многие люди забыли о такой человеческой ценности, как достоинство, что в настоящее время почти нет достойных людей. А те, кого мы можем назвать таковыми, живут непросто, потому что никогда не станут «источником подлости, низости либо предательства».

Авторскую позицию определить не сложно: «Достоинство – это своего рода талант, данный человеку Богом».

Я полностью разделяю точку зрения  Ю.Золотарева. Действительно, достоинство нельзя заработать или получить в подарок, оно, скорее всего, передается по наследству. Об этом не раз писали классики и публицисты.

   Так, в рассказе Ю.Буйда «Химич» повествуется о Сергее Сергеевиче, скромном учителе химии в сельской школе. Он был тихим, спокойным, воспитанным, не способным на какую-либо низость достойным человеком, но мужчина не нашел понимания среди окружающих. Все над ним смеялись, сравнивали с чеховским Беликовым. Но Химич спокойно реагировал на выпадки недругов. А с каким достоинством он встретил весть о понижении его в должности! И работал лаборантом с удовольствием!

    В рассказе Ирины Курамшиной «Сыновний долг» один из главных персонажей, Дэн,  стал донором для собственной матери. Вы скажете:  «Что удивительного? Сын помогает матери…» Но дело в том, что Рэна  когда- то отказалась от мальчика, отдала его в интернат. Несмотря на  это, юноша, понимая, что мать в беде и ее надо спасать, какой бы она ни была в молодости, отдает ей для пересадки почку…. Вот он, достойный сын!

Таким образом,  хочу сказать, что достоинство – это одна из величайших человеческих ценностей.",231
